姓名0,电话1,邮箱2,英文名称3,座机、传真4,职位5,公司名称6,地址7,高校8,专业名称9,资格证书10,中国地级市11,专业技术职务12,省份13,银行名称14,邮政编码15,姓氏16
蔺冬卉,13644001606,ps33c4a5h@tech.com,BrookeBurton,027-54678782,,本千股份有限公司,岳阳炔乌路 07号 敌小区 48号楼 2单元 986室,上海师范大学,070701 物理海洋学,国土资源调查师,驻马店市,,,交通银行延边分行延西分理处,,霍
丙翰海,15163053534,ef41agtqd@tech.com,RayleignMaureen,027-54678783,,昌干股份有限公司,岳阳断赌路 04号 币小区 90号楼 3单元 219室,上海外国语大学,070702 海洋化学,金属矿开采工程师,信阳市,,,交通银行延边分行天池路分理处,,虞
姒语柳,13697814209,cld17rd6p@tech.com,AlcottBasil,027-54678784,,凯发股份有限公司,岳阳刀瓜路 08号 郎小区 96号楼 7单元 896室,上海财经大学,070703 海洋生物学,金属矿勘查工程师,武汉市,,,交通银行延边分行长城分理处,,万
勤旭尧,18529624343,8t73n40ir@tech.com,ElectraHarlan,027-54678785,,如晶股份有限公司,岳阳藕鄙路 09号 纬小区 51号楼 2单元 858室,上海对外经贸大学,070704 海洋地质,矿井建设工程师,十堰市,,,交通银行延边分行金达莱广场分理处,,支
宰父浩荡,15878135646,cgbgipd5b@tech.com,GeoffreyCamille,027-54678786,,谦和股份有限公司,岳阳车礁路 08号 寿小区 57号楼 2单元 972室,上海海关学院,0708 地球物理学,矿井通风安全工程师,襄樊市,,,交通银行延边分行河北支行,,柯
索依波,13613146280,ej4aqdjgt@tech.com,ChapmanChanning,027-54678787,,成仁股份有限公司,岳阳崩疽路 07号 毙小区 81号楼 7单元 600室,华东政法大学,070801 固体地球物理学,矿井运输提升工程师,随州市,,,交通银行延边分行时代广场分理处,,昝
史俊雄,15835597256,jtsr3f9kt@tech.com,KennedyJo,027-54678788,,全飞股份有限公司,岳阳谇歉路 07号 呐小区 67号楼 1单元 325室,上海体育学院,070802 空间物理学,矿山测量工程师,荆门市,,,交通银行延边分行百花分理处,,管
闾丘傲薇,18805704451,dm2ls725q@tech.com,BeardKen,027-54678789,,成谦股份有限公司,岳阳绽沦路 14号 重小区 40号楼 9单元 922室,上海音乐学院,0709 地质学,矿山地质工程师,孝感市,,,交通银行延边分行春晖分理处,,卢
第五博文,13654274960,8hlofe2g0@tech.com,I.Burke,027-54678790,,义洪股份有限公司,岳阳汲谱路 06号 乇小区 86号楼 6单元 397室,上海戏剧学院,070901 矿物学、岩石学、矿床学,矿山机电工程师,宜昌市,,,交通银行延边分行学院分理处,,莫
慎倩丽,15134639634,3n2niiig0@tech.com,DuBoisPhyllis,027-54678791,,丰圣股份有限公司,岳阳路涎路 17号 乒小区 71号楼 8单元 367室,上海大学,070902 地球化学,矿物加工工程师,黄冈市,,,交通银行延边分行庆丰分理处,,经
章锐利,15111916336,glt9mlh71@tech.com,GreyChester,027-54678792,,合万股份有限公司,合肥市袄逼路 09号 焙小区 66号楼 7单元 598室,上海工程技术大学,070903 古生物学与地层学,煤矿开采工程师,鄂州市,,,交通银行延边分行吉利分理处,,房
叔余妍,13627429500,0i1t594nm@tech.com,BartholomewTobey,027-54678793,,进兴股份有限公司,合肥市至杏路 07号 涸小区 66号楼 9单元 130室,上海立信会计学院,070904 构造地质学,煤田勘查工程师,荆州市,,,交通银行延边分行营业部,,裘
蔡凌波,13912834883,72rn861ea@tech.com,Verna,027-54678794,,广东股份有限公司,合肥市凹洞路 05号 谋小区 45号楼 8单元 459室,上海电机学院,070905 第四纪地质学,煤质深加工工程师,黄石市,,,交通银行延边分行延南分理处,,缪
竭子骞,13908676761,7r7m16pls@tech.com,ConradBuck,027-54678795,,义宝股份有限公司,合肥市嘿茁路 09号 谆小区 14号楼 5单元 820室,上海金融学院,0710 生物学,区域地质工程师,咸宁市,,,交通银行哈尔滨分行账务中心,,干
晋光远,18826156328,af9lnrsem@tech.com,Aled(k)Joy,027-54678796,,华浩股份有限公司,合肥市呕访路 12号 概小区 57号楼 7单元 117室,上海杉达学院,071001 植物学,砂矿床开采工程师,长沙市,,,交通银行哈尔滨分行营业部,,解
闵淳美,13651137701,92spnmph0@tech.com,RuskinWard,027-54678797,,昌兴股份有限公司,合肥市丫链路 04号 谠小区 83号楼 4单元 447室,上海政法学院,071002 动物学,摄影测量工程师,岳阳市,,,交通银行哈尔滨市南岗支行,,应
集康安,15824159121,n5o0n5m3d@tech.com,Mat(h)ildaClaude,027-54678798,,正欣股份有限公司,合肥市诨套路 12号 囊小区 98号楼 7单元 393室,上海第二工业大学,071003 生理学,石油天然气勘探工程师,张家界市,,,交通银行哈尔滨市辽河支行,,宗
员思若,15142614967,fkglcog5a@tech.com,BrightMerlin,027-54678799,,飞利网络技术有限公司,合肥市勇烦路 03号 仔小区 48号楼 2单元 932室,上海商学院,071004 水生生物学,水文勘查工程师,常德市,,,交通银行哈尔滨市学府支行,,丁
建听芹,13936767600,eiqr1q4oa@tech.com,ServiceNathan,027-54678800,,东利网络技术有限公司,合肥市瞎蜕路 06号 掳小区 65号楼 6单元 272室,上海建桥学院,071005 微生物学,水文与工程地质工程师,益阳市,,,交通银行哈尔滨市第一分理处,,宣
郗温候御府纶,18804416093,lhc7m6odi@tech.com,RobertYehudi,027-54678801,,中复网络技术有限公司,合肥市俳挪路 07号 刃小区 10号楼 8单元 937室,上海兴伟学院,071006 神经生物学,选矿工程师,湘潭市,,,交通银行哈尔滨市尚志支行,,贲
勇傲旋,13951013980,9gnkkia6e@tech.com,BrownMatthew,027-54678802,,隆庆网络技术有限公司,合肥市准痈路 14号 雅小区 32号楼 5单元 161室,上海视觉艺术学院,071007 遗传学,选矿机电工程师,株洲市,,,交通银行哈尔滨市通达分理处,,邓
容依美,15134214766,a6iecdq4r@tech.com,SherwoodKim,027-54678803,,升祥盈网络技术有限公司,合肥市晕某路 08号 烦小区 95号楼 5单元 741室,上海外国语大学贤达经济人文学院,071008 发育生物学,选煤工程师,娄底市,,,交通银行哈尔滨市安乐分理处,,郁
庚凌青,15844692893,60ek5mai4@tech.com,MichelsonLisa,027-54678804,,长永发网络技术有限公司,合肥市徒阉路 13号 牧小区 86号楼 6单元 452室,上海师范大学天华学院,071009 细胞生物学,岩矿鉴定师,怀化市,,,交通银行哈尔滨市平房分理处,,单
甄从珊,18892046784,ek157f541@tech.com,AdolphCynthia,027-54678805,,东国新网络技术有限公司,合肥市段短路 12号 毓小区 80号楼 7单元 852室,上海科技大学,071010 生物化学与分子生物学,油气藏分析工程师,邵阳市,,,交通银行哈尔滨市交广分理处,,杭
疏沛柔,15856231172,1rr1t9crk@tech.com,Lindberg(h)Kyle,027-54678806,,源丰成网络技术有限公司,合肥市霖狗路 11号 俺小区 95号楼 5单元 755室,上海纽约大学,071011 生物物理学,油气储运工程师,衡阳市,,,交通银行齐齐哈尔分行账务中心,,洪
及月杉,13600844336,cbhd116nf@tech.com,IsaiahDeirdre,027-54678807,,谦协成网络技术有限公司,合肥市寂厦路 08号 估小区 17号楼 5单元 708室,上海旅游高等专科学校,071012 生态学,油气地质勘查工程师,永州市,,,交通银行齐齐哈尔分行营业部,,包
舒博多艺,18878572888,jggnpek3h@tech.com,RossettiMalcolm,027-54678808,,美茂中网络技术有限公司,合肥市氨驳路 10号 床小区 98号楼 3单元 215室,上海公安高等专科学校,0711 系统科学,油气化学工程师,郴州市,,,交通银行齐齐哈尔分行银车分理处,,诸
仉正自信,13987267960,8dnjm3enc@tech.com,MartinGrover,027-54678809,,仁鼎仁网络技术有限公司,合肥市业柯路 15号 蠢小区 11号楼 9单元 972室,上海东海职业技术学院,071101 系统理论,城市管理工程师,广州市,,,交通银行齐齐哈尔分行红向阳支行,,石
那海秋,18516226966,525ttd5rj@tech.com,SmithFranklin,027-54678810,,飞大飞多媒体技术有限公司,合肥市祭趴路 03号 陈小区 31号楼 8单元 479室,上海工商职业技术学院,071102 系统分析与集成,城市燃气工程师,韶关市,,,交通银行齐齐哈尔分行和平支行,,崔
宗政欢悦,13904831901,jl4f2ps6e@tech.com,TerryTeresa,027-54678811,,福亨兴多媒体技术有限公司,合肥市劝簿涛路 19号 空小区 25号楼 6单元 236室,上海出版印刷高等专科学校,0712 科学技术史,城镇规划工程师,梅州市,,,交通银行齐齐哈尔分行百花支行,,吉
佘新梅,18815312816,klct40o1s@tech.com,MadgeHunter,027-54678812,,庆隆裕多媒体技术有限公司,合肥市飞怀路 15号 判小区 26号楼 5单元 331室,上海行健职业学院,,地下隧道工程师,河源市,,,交通银行大庆分行,,钮
浮施然,13974838105,7tr9002po@tech.com,JonahMurray,027-54678813,,盈旺盛多媒体技术有限公司,青岛市琶寄路 05号 阑小区 80号楼 5单元 671室,上海城市管理职业技术学院,,房地产策划师,清远市,,,交通银行黑河支行,,龚
仰丹雪,15122601921,jppm643n1@tech.com,JohnsonLewis,027-54678814,,汇台金多媒体技术有限公司,青岛市谰窍路 04号 拦小区 72号楼 9单元 389室,上海交通职业技术学院,0801 力学,房地产估价师,潮州市,,,交通银行,,程
肇小凝,18593250067,7jhhso0gq@tech.com,JimmyJason,027-54678815,,进春巨多媒体技术有限公司,青岛市竿载路 17号 狈小区 24号楼 5单元 124室,上海海事职业技术学院,080101 一般力学与力学基础,房地产经纪人,揭阳市,,,交通银行总行营业部,,嵇
府君婷,18837945603,ahed5l31i@tech.com,HenriettaDana,027-54678816,,和吉大多媒体技术有限公司,青岛市孛腊路 19号 趟小区 55号楼 8单元 452室,上海电子信息职业技术学院,080102 固体力学,房地产经营估价师,汕头市,,,交通银行上海分行,,邢
那拉紫云,15109680634,rafj74i1e@tech.com,HenleySebastiane,027-54678817,,千百寿多媒体技术有限公司,青岛市酱叭路 04号 亢小区 91号楼 7单元 857室,上海震旦职业学院,080103 流体力学,给排水工程师,肇庆市,,,交通银行上海分行业务部,,滑
道和暖,13650798857,lm0tppo19@tech.com,PulitzerAlexia,027-54678818,,顺协盈多媒体技术有限公司,青岛市刺哺路 11号 浪小区 96号楼 1单元 638室,上海民远职业技术学院,080104 工程力学,工程监理工程师,惠州市,,,交通银行上海分行第一支行,,裴
岳英秀,15187726489,jrlt5cko9@tech.com,ElinorHugh,027-54678819,,宏寿国多媒体技术有限公司,青岛市悄寥路 03号 滥小区 14号楼 5单元 772室,上海欧华职业技术学院,0802 机械工程,全国计算机等级考试,佛山市,,,交行上海分行航运交易所支行,,陆
仵盼柳,18821582987,ed9naajbb@tech.com,BillCarl,027-54678820,,祥进春多媒体技术有限公司,青岛市到橙路 06号 溉小区 51号楼 4单元 721室,上海思博职业技术学院,080201 机械制造及其自动化,电子工艺工程师,东莞市,,,交行上海分行房地大厦支行,,荣
中夜天,13961967196,kgrgl038c@tech.com,RicardoBaldwin,027-54678821,,宝弘成多媒体技术有限公司,青岛市娜揭路 07号 壳小区 42号楼 8单元 574室,上海立达职业技术学院,080202 机械电子工程,电子设备工程师,云浮市,,,交通银行上海分行徐汇支行,,翁
邝绿竹,13956290692,3a7h73n7p@tech.com,WhyetAnna,027-54678822,,祥合福多媒体技术有限公司,青岛市雀祷路 12号 晕小区 67号楼 9单元 400室,上海工艺美术职业学院,080203 机械设计及理论,电子声像工程师,汕尾市,,,交通银行上海分行宜山路支行,,荀
普幻竹,15845717856,52lspd7f6@tech.com,BartRosalind,027-54678823,,升润巨通信技术有限公司,仙桃雍几路 03号 奥小区 54号楼 5单元 382室,上海济光职业技术学院,080204 车辆工程,电子仪器仪表工程师,江门市,,,交通银行上海分行天钥桥路支行,,羊
钟离英楠,15197420492,7scr4j07s@tech.com,BackAudrey,027-54678824,,辉顺元通信技术有限公司,仙桃欠盼路 15号 教小区 53号楼 9单元 393室,上海工商外国语职业学院,0803 光学工程,动漫设计师,中山市,,,交通银行上海分行漕河泾支行,,於
魏银柳,13960718603,q6q94icd6@tech.com,BernardTina,027-54678825,,多升金通信技术有限公司,仙桃咕欠路 03号 等小区 66号楼 3单元 391室,上海科学技术职业学院,0804 仪器科学与技术,广播电视网络工程师,深圳市,,,交通银行上海分行斜土路支行,,惠
霜良哲,18507698353,rs8t9r8rs@tech.com,FaradayEmmanuel,027-54678826,,千茂厚通信技术有限公司,仙桃喝姓路 04号 诿小区 63号楼 9单元 744室,上海农林职业技术学院,080401 精密仪器及机械,计算机多媒体工程师,珠海市,,,交通银行上海分行肇嘉浜路支行,,甄
错琬凝,18888044744,5fabpirej@tech.com,RichardSandra,027-54678827,,宝义如通信技术有限公司,仙桃酒行路 13号 端小区 75号楼 1单元 217室,上海邦德职业技术学院,080402 测试计量技术及仪器,计算机通信工程师,阳江市,,,交通银行上海分行宝山支行,,麴
亥访烟,15844678794,f49hc5iga@tech.com,AttleeRae,027-54678828,,厚皇圣科技技术有限公司,仙桃踩铀路 14号 钒小区 26号楼 7单元 656室,上海中侨职业技术学院,0805 材料科学与工程,计算机网络工程师,茂名市,,,交通银行上海分行共康支行,,家
鲜宛秋,18515383472,djagdn82j@tech.com,BabbittAdela,027-54678829,,自信义鼎科技技术有限公司,仙桃傺姥路 08号 椅小区 97号楼 8单元 982室,上海建峰职业技术学院,080501 材料物理与化学,计算机维护工程师,湛江市,,,交通银行上海分行长江西路支行,,封
恽凝海,18574056855,t24o0h334@tech.com,MollAtwood,027-54678830,,盛亚谦科技技术有限公司,仙桃锻挛路 16号 挠小区 36号楼 7单元 822室,上海电影艺术职业学院,080502 材料学,计算机信息管理师,南宁市,,,交通银行上海分行场中路支行,,芮
独醉波,15143215052,2btf22aqe@tech.com,IsabelStan,027-54678831,,万本祥科技技术有限公司,仙桃父抢路 10号 钨小区 65号楼 9单元 954室,上海中华职业技术学院,080503 材料加工工程,计算机应用工程师,桂林市,,,交通银行上海分行牡丹江路支行,,羿
禚夏之,18538795406,a1m219dtf@tech.com,Ives,027-54678832,,鑫全庆科技技术有限公司,仙桃氯肇路 09号 彼小区 12号楼 2单元 769室,上海工会管理职业学院,0806 冶金工程,计算机硬件工程师,河池市,,,交通银行上海分行永乐路支行,,储
涂天元,18818619823,rtkkpetqh@tech.com,HewlettCornell,027-54678833,,丰全鑫科技技术有限公司,仙桃颂僖路 06号 俨小区 99号楼 7单元 979室,上海体育职业学院,080601 冶金物理化学,建筑装饰材料工程师,贺州市,,,交通银行上海分行三门路支行,,靳
漆春燕,18803935892,90lodhh27@tech.com,CarrieLindsay,027-54678834,,吉华庆科技技术有限公司,仙桃迂惶路 15号 亟小区 89号楼 4单元 167室,上海健康职业技术学院,080602 钢铁冶金,软件工程师,柳州市,,,交通银行上海分行虹口支行,,汲
诗高雅,13986167951,bqjthpobd@tech.com,DeweyCyril,027-54678835,,光生成科技技术有限公司,仙桃尾朔路 16号 枷小区 74号楼 4单元 252室,上海民航职业技术学院,080603 有色金属冶金,通信工程师,百色市,,,交通银行上海分行虬江路支行,,邴
库新洁,18835435458,9t1mr5d8o@tech.com,LeopoldDarlene,027-54678836,,高亚光科技技术有限公司,仙桃矢次路 19号 冒小区 10号楼 7单元 189室,安徽大学,0807 动力工程及工程热物理,通信网络设备工程师,来宾市,,,交通银行上海分行武昌路支行,,糜
开鹤轩,15111291066,ekfaa9q15@tech.com,BecherWinni,027-54678837,,捷金长科技技术有限公司,仙桃评臣路 17号 椒小区 50号楼 3单元 575室,中国科学技术大学,080701 工程热物理,通信系统运行管理师,梧州市,,,交通银行上海分行四川北路支行,,松
成修竹,13675200693,4dec0gtef@tech.com,EleanorYork,027-54678838,,晶荣利科技技术有限公司,仙桃频粮路 12号 昧小区 62号楼 1单元 149室,合肥工业大学,080702 热能工程,图文信息工程师,贵港市,,,交通银行上海分行四平路支行,,井
钊昊明,13666796214,3qt0qbhd9@tech.com,GibbonAgnes,027-54678839,,福泰昌食品有限公司,仙桃鬃显路 16号 僚小区 93号楼 7单元 497室,安徽工业大学,080703 动力机械及工程,图形图像制作工程师,玉林市,,,交通银行上海分行提篮桥支行,,段
禽映天,15191736724,7m2kkp7rt@tech.com,RockefellerJuliet,027-54678840,,欣丰多食品有限公司,仙桃籽吕路 11号 越小区 75号楼 6单元 359室,安徽理工大学,080704 流体机械及工程,网络管理师,崇左市,,,交通银行上海分行曲阳路支行,,富
安寄琴,13998281563,jsbnrh0ef@tech.com,AchesonWright,027-54678841,,万鑫同食品有限公司,仙桃止蔡路 12号 残小区 56号楼 1单元 585室,安徽工程大学,080705 制冷及低温工程,微电子工程师,钦州市,,,交通银行上海分行凉城支行,,巫
巫溶溶,15879860661,0lklacp90@tech.com,ChestertonBennett,027-54678842,,满发聚食品有限公司,仙桃闷家路 13号 顾小区 80号楼 6单元 115室,安徽农业大学,080706 化工过程机械,无线电工程师,防城港市,,,交通银行上海分行长宁支行,,乌
呼延文斌,13941936703,jn1qbimkp@tech.com,GreenChloe,027-54678843,,辉宝公食品有限公司,仙桃磕贸路 13号 鄙小区 70号楼 7单元 181室,安徽医科大学,0808 电气工程,信息安全工程师,北海市,,,交行上海分行虹桥支行,,焦
折沛文,18590911663,400b16oai@tech.com,DonneBing,027-54678844,,吉富如食品有限公司,仙桃箍彻路 17号 醇小区 18号楼 9单元 550室,蚌埠医学院,080801 电机与电器,有线电视工程师,海口市,,,交通银行上海分行番禺路支行,,巴
杞从冬,13916275630,ajnkaomhh@tech.com,PartridgeAugus,027-54678845,,祥泰浩食品有限公司,仙桃磊冈路 19号 倍小区 36号楼 3单元 267室,皖南医学院,080802 电力系统及其自动化,电子测量工程师,三亚市,,,交通银行上海分行虹桥友谊商城支行,,弓
自信学义,15886659343,oa0bb1s24@tech.com,PriestleyKeith,027-54678846,,义万弘食品有限公司,仙桃枷仁路 05号 荷小区 44号楼 7单元 435室,安徽中医药大学,080803 高电压与绝缘技术,电力自动化工程师,成都市,,,交通银行上海分行古北新区支行,,牧
朱翠桃,18539907482,6jcphaq93@tech.com,WilhelminaRenata,027-54678847,,升飞伟食品有限公司,仙桃状拘路 08号 噬小区 91号楼 2单元 452室,安徽师范大学,080804 电力电子与电力传动,电气工程师,广元市,,,交通银行上海分行仙霞路支行,,隗
计海凡,13923654368,se8ofbcn0@tech.com,BloomfieldPoppy,027-54678848,,旺皇中食品有限公司,仙桃炼厮路 13号 峡小区 86号楼 4单元 219室,阜阳师范学院,080805 电工理论与新技术,工业设计师,巴中市,,,交通银行上海分行虹康支行,,山
弓暄嫣,13944838872,r61h3fr54@tech.com,CarlGeorge,027-54678849,,久隆新食品有限公司,仙桃寄妇路 06号 郧小区 72号楼 2单元 377室,安庆师范学院,0809 电子科学与技术,工业网络工程师,绵阳市,,,交通银行上海分行闸北支行,,谷
盘盼香,18559119130,edd20pdtq@tech.com,O'ConnorGeraldine,027-54678850,,弘昌巨食品有限公司,仙桃兑导路 03号 鼻小区 96号楼 5单元 612室,淮北师范大学,080901 物理电子学,焊接工程师,德阳市,,,交通银行上海分行共和新路支行,,车
硕杏儿,13698826783,ifrt51ejh@tech.com,AustenOlivia,027-54678851,,发干源食品有限公司,仙桃粮绿路 11号 展小区 56号楼 9单元 629室,黄山学院,080902 电路与系统,衡器工程师,达州市,,,交通银行上海分行七浦路支行,,侯
茹孤阳,13666502481,5f5g4e992@tech.com,GreshamElliot,027-54678852,,伟裕辉食品有限公司,仙桃材腔路 03号 秤小区 89号楼 2单元 371室,皖西学院,080903 微电子学与固体电子学,机电工程师,南充市,,,交通银行上海分行新客站支行,,宓
兆令枫,13647895480,1ci4qa0mq@tech.com,WashingtonAngela,027-54678853,,高满仁生化技术有限公司,郑州市党勘路 12号 急小区 47号楼 5单元 683室,滁州学院,080904 电磁场与微波技术,机电一体化工程师,遂宁市,,,交通银行上海分行彭浦新村支行,,蓬
图门云梦,13990552812,4hao84961@tech.com,LeightonJames,027-54678854,,亚益圣生化技术有限公司,郑州市思旅路 17号 椅小区 25号楼 6单元 735室,安徽财经大学,0810 信息与通信工程,机械工程师,广安市,,,交行上海分行中远两湾城支行,,郗
其涵衍,15886218657,ha13ql98o@tech.com,CockerWill,027-54678855,,元如源生化技术有限公司,郑州市志执路 07号 毫小区 13号楼 6单元 869室,宿州学院,081001 通信与信息系统,机械自动化工程师,资阳市,,,交通银行上海分行中兴路支行,,班
宿星爵,15865183371,fkhce26c9@tech.com,EdenCrystal,027-54678856,,辉旺福生化技术有限公司,郑州市坎肝路 07号 士小区 13号楼 8单元 655室,巢湖学院,081002 信号与信息处理,激光头制造师,眉山市,,,交通银行上海分行大华支行,,仰
常元槐,18880564458,farrt6a5p@tech.com,PeggyMilo,027-54678857,,捷顺荣生化技术有限公司,郑州市咽辞路 04号 鲤鱼龙门小区 72号楼 6单元 423室,淮南师范学院,0811 控制科学与工程,集成电路测试师,雅安市,,,交通银行上海分行闵行支行,,秋
琦寒香,18805112867,3khdoc3p3@tech.com,SpencerDon,027-54678858,,庆厚圣生化技术有限公司,郑州市褂刑路 11号 尤小区 62号楼 5单元 667室,铜陵学院,081101 控制理论与控制工程,计算机控制工程师,内江市,,,交通银行上海分行鞍山路支行,,仲
斛濮存,18584209422,lh00r43rn@tech.com,BachFlorence,027-54678859,,万干汇生化技术有限公司,郑州市陕骨路 03号 记小区 24号楼 5单元 797室,安徽建筑大学,081704 应用化学,检测工程师,乐山市,,,交通银行上海分行控江路支行,,伊
源陶然,13904832553,77o5acmst@tech.com,BushBart,027-54678860,,干飞富生化技术有限公司,郑州市咆梁路 06号 赜小区 31号楼 5单元 789室,安徽科技学院,081705 工业催化,精密机械工程师,自贡市,,,交通银行上海分行五角场支行,,宫
莘鹏鲸,18591975494,f4l84pi45@tech.com,PatrickSandy,027-54678861,,台发浩生化技术有限公司,郑州市康仄路 03号 搅小区 44号楼 5单元 306室,安徽三联学院,0818 地质资源与地质工程,精益制造师,泸州市,,,交通银行上海分行赤峰路支行,,宁
达静美,18508825044,go9ohr646@tech.com,PearsonMadeline,027-54678862,,亚公优生化技术有限公司,郑州市抛律路 15号 惭小区 47号楼 8单元 425室,合肥学院,081801 矿产普查与勘探,理化测试与质检工程师,宜宾市,,,交通银行上海分行靖宇支行,,仇
胥景逸,18579046488,1gpe74gr1@tech.com,SidneyCecilia,027-54678863,,润本祥生化技术有限公司,郑州市拾谆路 16号 雍小区 49号楼 8单元 329室,蚌埠学院,081802 地球探测与信息技术,模具工程师,攀枝花市,,,交通银行上海分行金专支行,,栾
溥晴霞,13979478553,t9sac71gp@tech.com,MiltonEsther,027-54678864,,贵宝万生化技术有限公司,郑州市赝伦路 15号 辖小区 18号楼 3单元 123室,池州学院,081803 地质工程,模具设计师,贵阳市,,,交通银行上海分行市南支行,,暴
牟平安,15169921763,k9fm5gcpm@tech.com,NoahJonas,027-54678865,,正长公生化技术有限公司,郑州市亚畔路 18号 沂小区 50号楼 7单元 254室,安徽新华学院,0819 矿业工程,汽车电子工程师,遵义市,,,交通银行上海分行南京西路支行,,甘
姓雁卉,13900454279,ghmacogkl@tech.com,Den(n)isCharles,027-54678866,,多飞皇生物科技有限公司,郑州市我颗路 04号 谄小区 41号楼 9单元 325室,安徽文达信息工程学院,081901 采矿工程,汽车改装工程师,六盘水市,,,交通银行上海分行大桥支行,,钭
宓淑慧,13997007031,o36m47fki@tech.com,LambertYedda,027-54678867,,旺合干生物科技有限公司,郑州市瘫臀路 03号 食小区 85号楼 2单元 775室,安徽外国语学院,081902 矿物加工工程,汽车工程师,安顺市,,,交通银行上海分行制造局路支行,,历
善凝心,15895946687,cmdp4p769@tech.com,OscarClarence,027-54678868,,生金大生物科技有限公司,郑州市断掠路 04号 芯小区 57号楼 8单元 662室,安徽财经大学商学院,081903 安全技术及工程,汽车经纪人,昆明市,,,交通银行上海分行市百一店支行,,戎
恭小雯,15148233482,o3ir0magg@tech.com,ScottHiram,027-54678869,,鑫义康生物科技有限公司,郑州市纶蜗路 14号 瓜小区 30号楼 8单元 827室,安徽大学江淮学院,0820 石油与天然气工程,汽车美容师,昭通市,,,交通银行上海分行豫园支行,,祖
荆昕珏,13617672782,36dld9j3f@tech.com,MasefieldJenny,027-54678870,,生大捷生物科技有限公司,郑州市僦椭路 05号 崖小区 10号楼 9单元 518室,安徽工程大学机电学院,082001 油气井工程,汽车评估师,丽江市,,,交通银行上海分行南京东路支行,,武
卷依萱,13635158976,6n3sjo9ln@tech.com,ArthurArthur,027-54678871,,欣隆全生物科技有限公司,郑州市队醚路 07号 铀小区 48号楼 6单元 784室,安徽工业大学工商学院,082002 油气田开发工程,汽车维修工程师,曲靖市,,,交通银行上海分行瑞南支行,,符
謇元魁,13641354293,maqp3ce58@tech.com,GillEve,027-54678872,,康捷义生物科技有限公司,郑州市性纪路 12号 推小区 87号楼 8单元 843室,安徽建筑大学城市建设学院,082003 油气储运工程,汽车营销师,保山市,,,交通银行上海分行北京东路支行,,刘
撒海凡,18580061825,qm27orb7m@tech.com,McDonaldDolores,027-54678873,,新寿弘生物科技有限公司,郑州市质夜路 18号 旅小区 90号楼 8单元 525室,安徽农业大学经济技术学院,0821 纺织科学与工程,汽车整形工程师,玉溪市,,,交通银行上海分行松江支行,,景
眭巧风,15121234603,83kgq7ckp@tech.com,SophiaOgden,027-54678874,,自信高圣生物科技有限公司,郑州市卤衬路 07号 说小区 21号楼 1单元 835室,安徽师范大学皖江学院,082101 纺织工程,生产自动化工程师,临沧市,,,交通银行上海分行松江工业区支行,,詹
广快乐蓉,13611962694,a0aobtgg8@tech.com,JenningsLeonard,027-54678875,,润和汇生物科技有限公司,郑州市礁壹路 13号 收小区 94号楼 3单元 297室,安徽医科大学临床医学院,082102 纺织材料与纺织品设计,数控程序师,普洱市,,,交行上海分行松江出口加工区支行,,束
欧快乐音,13631355187,9o775cjdp@tech.com,BertGill,027-54678876,,美吉协生物科技有限公司,郑州市陆呵路 18号 瞥小区 11号楼 8单元 530室,阜阳师范学院信息工程学院,082103 纺织化学与染整工程,数控工程师,拉萨市,,,交通银行上海分行嘉定支行,,龙
邹孤萍,13924988441,e55bnbq4r@tech.com,ParkerTabitha,027-54678877,,凯美干生物科技有限公司,郑州市姥扇路 18号 口无遮拦小区 76号楼 7单元 706室,淮北师范大学信息学院,082104 服装设计与工程,玩具工程师,西安市,,,交通银行上海分行南翔支行,,叶
田昆皓,18519688115,66ddgmo11@tech.com,DierserAmelia,027-54678878,,久仁飞生物科技有限公司,56仙桃沽硕路 07号 咎由自取小区 85号楼 8单元 634室,合肥师范学院,0822 轻工技术与工程,玩具设计师,榆林市,,,交通银行上海分行安亭支行,,幸
素子爱,13608105515,c1hsnerec@tech.com,JulietRaymond,027-54678879,,长巨益生物科技有限公司,杭州市终源路 12号 匾小区 26号楼 1单元 238室,河海大学文天学院,082201 制浆造纸工程,液压气动工程师,延安市,,,交通银行上海分行民生路支行,,司
衣俊明,15174475010,1bem5br4g@tech.com,JohnKaren,027-54678880,,利圣辉生物科技有限公司,杭州市吞卤路 05号 缀小区 25号楼 4单元 954室,安徽职业技术学院,082202 制糖工程,医疗电子仪器工程师,铜川市,,,交通银行上海分行交银大厦支行,,韶
犁清舒,18551638758,3l34rifsh@tech.com,RaphaelDoris,027-54678881,,生辉泰技术有限公司,杭州市鸦子磁路 08号 蒂小区 69号楼 4单元 779室,淮北职业技术学院,082203 发酵工程,医学设备管理师,渭南市,,,交通银行上海分行东方路支行,,郜
通伟晔,15809165570,lahr9d5ko@tech.com,GallacherUpton,027-54678882,,润宝泰技术有限公司,杭州市蚊灾路 13号 谎小区 74号楼 9单元 866室,芜湖职业技术学院,082204 皮革化学与工程,医学影像设备工程师,宝鸡市,,,交通银行上海分行玉兰路支行,,黎
柴和风,13930466148,gm6kj49qo@tech.com,QuillerAurora,027-54678883,,万公元技术有限公司,杭州市痈渤路 07号 来小区 12号楼 5单元 689室,淮南联合大学,0823 交通运输工程,部队后勤管理师,咸阳市,,,交通银行上海分行六里支行,,蓟
